year,month,city,nums
2018,1,三亚,33
2018,1,三明,27
2018,1,三门峡,6
2018,1,上海,11771
2018,1,上饶,28
2018,1,东莞,780
2018,1,东营,34
2018,1,中山,307
2018,1,临汾,9
2018,1,临沂,415
2018,1,临沧,1
2018,1,丹东,10
2018,1,丽水,17
2018,1,丽江,2
2018,1,乌兰察布,2
2018,1,乌海,1
2018,1,乌鲁木齐,284
2018,1,乐山,20
2018,1,九江,56
2018,1,云浮,5
2018,1,亳州,10
2018,1,仙桃,1
2018,1,伊宁,1
2018,1,伊犁哈萨克自治州,13
2018,1,佛山,517
2018,1,佳木斯,3
2018,1,保定,103
2018,1,保山,4
2018,1,信阳,14
2018,1,儋州,5
2018,1,克拉玛依,1
2018,1,六安,42
2018,1,六盘水,3
2018,1,兰州,148
2018,1,兴安盟,3
2018,1,内江,5
2018,1,凉山,1
2018,1,凉山彝族自治州,1
2018,1,包头,51
2018,1,北京,14122
2018,1,北海,9
2018,1,十堰,35
2018,1,南京,3864
2018,1,南充,16
2018,1,南宁,627
2018,1,南平,23
2018,1,南昌,995
2018,1,南通,359
2018,1,南阳,107
2018,1,厦门,3618
2018,1,台州,777
2018,1,合肥,2438
2018,1,吉安,18
2018,1,吉林,88
2018,1,吕梁,7
2018,1,周口,32
2018,1,呼伦贝尔,9
2018,1,呼和浩特,146
2018,1,咸宁,9
2018,1,咸阳,64
2018,1,哈密,2
2018,1,哈密地区,1
2018,1,哈尔滨,1093
2018,1,唐山,55
2018,1,商丘,20
2018,1,商洛,3
2018,1,嘉兴,281
2018,1,四平,5
2018,1,固原,2
2018,1,大同,25
2018,1,大庆,36
2018,1,大理白族自治州,6
2018,1,大连,1190
2018,1,天水,4
2018,1,天津,3437
2018,1,天门,3
2018,1,太原,629
2018,1,威海,275
2018,1,娄底,10
2018,1,孝感,19
2018,1,宁德,20
2018,1,宁波,1646
2018,1,安庆,6
2018,1,安康,3
2018,1,安阳,56
2018,1,安顺,4
2018,1,定西,1
2018,1,宜宾,13
2018,1,宜昌,119
2018,1,宜春,16
2018,1,宝鸡,38
2018,1,宣城,14
2018,1,宿州,5
2018,1,宿迁,50
2018,1,岳阳,16
2018,1,崇左,2
2018,1,巴中,4
2018,1,巴彦淖尔,3
2018,1,常州,718
2018,1,常德,67
2018,1,平顶山,19
2018,1,广元,5
2018,1,广安,6
2018,1,广州,8891
2018,1,廊坊,158
2018,1,延安,7
2018,1,开封,19
2018,1,张家口,7
2018,1,张家界,7
2018,1,张掖,2
2018,1,徐州,376
2018,1,德宏傣族景颇族自治州,1
2018,1,德州,53
2018,1,德阳,31
2018,1,忻州,4
2018,1,怀化,12
2018,1,惠州,305
2018,1,成都,4425
2018,1,扬州,246
2018,1,承德,9
2018,1,抚州,9
2018,1,抚顺,13
2018,1,拉萨,8
2018,1,揭阳,23
2018,1,攀枝花,2
2018,1,文山壮族苗族自治州,1
2018,1,文昌,3
2018,1,新乡,110
2018,1,新余,4
2018,1,无锡,1229
2018,1,日照,39
2018,1,昆明,793
2018,1,昌吉回族自治州,2
2018,1,昭通,2
2018,1,晋中,19
2018,1,晋城,4
2018,1,普洱,6
2018,1,景德镇,11
2018,1,曲靖,12
2018,1,朔州,6
2018,1,朝阳,15
2018,1,本溪,3
2018,1,来宾,1
2018,1,杭州,5570
2018,1,枣庄,21
2018,1,柳州,29
2018,1,株洲,96
2018,1,桂林,158
2018,1,梅州,16
2018,1,梧州,3
2018,1,楚雄彝族自治州,3
2018,1,榆林,5
2018,1,武威,1
2018,1,武汉,5589
2018,1,毕节,7
2018,1,永州,9
2018,1,汉中,5
2018,1,汕头,40
2018,1,汕尾,16
2018,1,江门,115
2018,1,池州,6
2018,1,沈阳,1568
2018,1,沧州,36
2018,1,河池,4
2018,1,河源,19
2018,1,泉州,790
2018,1,泰安,45
2018,1,泰州,54
2018,1,泸州,12
2018,1,洛阳,306
2018,1,济南,2669
2018,1,济宁,95
2018,1,济源,3
2018,1,海口,112
2018,1,淄博,456
2018,1,淮北,6
2018,1,淮南,14
2018,1,淮安,41
2018,1,深圳,11453
2018,1,清远,37
2018,1,温州,499
2018,1,渭南,7
2018,1,湖州,41
2018,1,湘潭,29
2018,1,湛江,28
2018,1,滁州,9
2018,1,滨州,29
2018,1,漯河,15
2018,1,漳州,111
2018,1,潍坊,639
2018,1,潮州,6
2018,1,濮阳,9
2018,1,烟台,768
2018,1,焦作,10
2018,1,牡丹江,18
2018,1,玉林,16
2018,1,玉溪,2
2018,1,珠海,264
2018,1,琼海,5
2018,1,百色,3
2018,1,益阳,14
2018,1,盐城,37
2018,1,盘锦,12
2018,1,眉山,11
2018,1,石嘴山,5
2018,1,石家庄,1437
2018,1,石河子,12
2018,1,福州,1620
2018,1,秦皇岛,34
2018,1,红河哈尼族彝族自治州,4
2018,1,绍兴,206
2018,1,绵阳,124
2018,1,聊城,21
2018,1,肇庆,62
2018,1,自贡,8
2018,1,舟山,11
2018,1,芜湖,209
