year,month,city,searched
2011,1,七台河,111784
2011,2,七台河,97742
2011,3,七台河,116432
2011,4,七台河,111589
2011,5,七台河,120817
2011,6,七台河,116914
2011,7,七台河,127244
2011,8,七台河,157810
2011,9,七台河,127361
2011,10,七台河,124429
2011,11,七台河,124353
2011,12,七台河,122677
2012,1,七台河,114811
2012,2,七台河,121523
2012,3,七台河,139299
2012,4,七台河,125522
2012,5,七台河,136253
2012,6,七台河,146798
2012,7,七台河,137664
2012,8,七台河,123673
2012,9,七台河,110875
2012,10,七台河,117871
2012,11,七台河,119203
2012,12,七台河,141977
2013,1,七台河,104224
2013,2,七台河,81615
2013,3,七台河,108277
2013,4,七台河,101911
2013,5,七台河,104500
2013,6,七台河,96086
2013,7,七台河,164294
2013,8,七台河,190162
2013,9,七台河,150727
2013,10,七台河,167149
2013,11,七台河,177778
2013,12,七台河,143036
2014,1,七台河,133100
2014,2,七台河,135078
2014,3,七台河,141692
2014,4,七台河,136929
2014,5,七台河,163427
2014,6,七台河,217447
2014,7,七台河,163115
2014,8,七台河,181012
2014,9,七台河,156169
2014,10,七台河,148422
2014,11,七台河,145571
2014,12,七台河,159491
2015,1,七台河,152930
2015,2,七台河,122449
2015,3,七台河,146365
2015,4,七台河,183710
2015,5,七台河,156009
2015,6,七台河,174685
2015,7,七台河,200268
2015,8,七台河,211385
2015,9,七台河,174998
2015,10,七台河,169596
2015,11,七台河,180944
2015,12,七台河,203714
2016,1,七台河,198389
2016,2,七台河,144266
2016,3,七台河,177450
2016,4,七台河,189831
2016,5,七台河,306181
2016,6,七台河,361968
2016,7,七台河,330245
2016,8,七台河,291834
2016,9,七台河,265660
2016,10,七台河,293863
2016,11,七台河,306665
2016,12,七台河,419111
2017,1,七台河,290502
2017,2,七台河,317327
2017,3,七台河,259049
2017,4,七台河,145894
2017,5,七台河,179364
2017,6,七台河,209566
2017,7,七台河,269315
2017,8,七台河,231358
2017,9,七台河,188530
2017,10,七台河,177180
2017,11,七台河,175731
2017,12,七台河,175439
2018,1,七台河,189826
2018,2,七台河,162167
2018,3,七台河,167685
2018,4,七台河,166248
2018,5,七台河,172297
2018,6,七台河,170363
2018,7,七台河,198738
2018,8,七台河,204427
2018,9,七台河,167543
2018,10,七台河,189640
2018,11,七台河,196639
2018,12,七台河,185498
2019,1,七台河,193985
2019,2,七台河,179677
2019,3,七台河,176610
2019,4,七台河,192309
2019,5,七台河,182482
2019,6,七台河,189158
2019,7,七台河,189904
2019,8,七台河,200544
2019,9,七台河,148636
